City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Lebu,CL,-37.62,-73.65,42.55,86,12,4.32,few clouds
300,Wenling,CN,28.37,121.36,87.08,75,100,12.35,overcast clouds
301,Banda Aceh,ID,5.56,95.32,86.68,67,67,14.16,broken clouds
302,Dawson Creek,CA,55.77,-120.24,56.84,88,75,6.91,broken clouds
303,Bathsheba,BB,13.22,-59.52,81.21,92,40,13.8,scattered clouds
304,Carnarvon,AU,-24.87,113.63,74.62,44,4,8.12,clear sky
305,Ranong,TH,9.97,98.63,85.93,88,100,10.33,overcast clouds
306,Okhotsk,RU,59.38,143.30,62.33,80,99,8.03,overcast clouds
307,Antofagasta,CL,-23.65,-70.40,52.88,76,0,8.28,clear sky
308,Labuhan,ID,-6.88,112.21,86.86,61,69,5.21,broken clouds
309,Changli,CN,39.70,119.15,82.51,65,45,8.03,scattered clouds
310,Gat,IL,31.61,34.76,83.39,100,0,7.16,clear sky
311,Nadym,RU,65.53,72.52,72.59,35,12,10.58,few clouds
312,Rio Gallegos,AR,-51.62,-69.22,24.85,80,0,25.32,clear sky
313,Winslow,US,35.02,-110.70,68.18,83,0,0.0,clear sky
314,Nikolskoye,RU,59.70,30.79,62.49,55,52,9.28,broken clouds
315,Shipunovo,RU,52.16,82.22,77.9,49,100,6.6,overcast clouds
316,Chokurdakh,RU,70.63,147.92,56.84,55,96,10.25,overcast clouds
317,Axim,GH,4.87,-2.24,75.18,89,100,8.23,overcast clouds
318,Honningsvag,NO,70.98,25.97,53.35,82,100,10.36,overcast clouds
319,Khagaria,IN,25.50,86.48,100.8,38,3,16.96,clear sky
320,Wairoa,NZ,-39.03,177.37,48.54,79,78,1.99,broken clouds
321,Ixtapa,MX,20.70,-105.20,79.23,89,75,0.0,broken clouds
322,Anadyr,RU,64.75,177.48,59.5,51,75,13.42,broken clouds
323,Narwar,IN,25.65,77.90,91.15,50,97,12.68,overcast clouds
324,Hailey,US,43.52,-114.32,64.26,39,0,8.05,clear sky
325,Merauke,ID,-8.47,140.33,76.71,76,100,15.7,overcast clouds
326,Muisne,EC,0.60,-80.03,72.88,87,100,7.56,overcast clouds
327,Ketchikan,US,55.34,-131.65,54.07,100,100,4.61,light rain
328,Chaumont,FR,48.12,5.13,68.04,40,5,9.01,clear sky
329,Asfi,MA,32.30,-9.24,69.19,89,1,11.56,clear sky
330,Adre,TD,13.47,22.20,75.94,73,86,1.88,overcast clouds
331,Haines Junction,CA,60.75,-137.51,57.15,54,57,6.91,broken clouds
332,Miracema Do Tocantins,BR,-9.56,-48.40,71.2,52,6,2.28,clear sky
333,Yumen,CN,40.28,97.20,83.86,18,100,9.04,overcast clouds
334,Beringovskiy,RU,63.05,179.32,48.76,67,64,8.88,broken clouds
335,Mkushi,ZM,-13.62,29.39,63.27,49,42,13.6,scattered clouds
336,Nanortalik,GL,60.14,-45.24,40.48,92,100,7.61,overcast clouds
337,Fereydun Kenar,IR,36.69,52.52,82.71,74,9,8.97,clear sky
338,Muzhi,RU,65.37,64.67,75.81,39,89,11.18,overcast clouds
339,Camopi,GF,3.17,-52.32,69.87,99,84,1.14,broken clouds
340,Tautira,PF,-17.73,-149.15,75.52,72,58,25.97,light rain
341,Narrabri,AU,-30.32,149.78,54.7,51,6,5.39,clear sky
342,Velikiy Ustyug,RU,60.76,46.31,71.85,50,0,9.22,clear sky
343,Slave Lake,CA,55.28,-114.77,62.58,94,100,10.36,overcast clouds
344,Benicarlo,ES,40.42,0.43,85.26,43,0,3.42,clear sky
345,Adamovka,RU,51.52,59.94,77.9,49,0,18.54,clear sky
346,Vestmannaeyjar,IS,63.44,-20.27,52.39,91,100,16.49,overcast clouds
347,Gayny,RU,60.31,54.32,75.34,54,100,5.3,overcast clouds
348,Sartana,UA,47.17,37.69,81.64,40,66,7.96,broken clouds
349,Nhulunbuy,AU,-12.23,136.77,79.41,53,40,17.27,scattered clouds
350,Artvin,TR,41.17,41.83,79.9,57,17,4.81,few clouds
351,Oussouye,SN,12.48,-16.55,82.49,88,9,4.34,light rain
352,Tongzi,CN,28.78,105.09,88.54,69,100,8.97,overcast clouds
353,Sirjan,IR,29.45,55.68,88.02,10,1,1.74,clear sky
354,Bonthe,SL,7.53,-12.51,76.19,87,82,6.8,broken clouds
355,Dehloran,IR,32.69,47.27,110.23,7,0,10.6,clear sky
356,Kruisfontein,ZA,-34.00,24.73,54.68,62,98,7.67,overcast clouds
357,Ballarpur,IN,19.83,79.35,86.45,69,100,12.28,overcast clouds
358,Acapulco,MX,16.86,-99.89,78.62,83,75,3.44,broken clouds
359,Ilebo,CD,-4.32,20.58,79.03,48,100,2.08,overcast clouds
